ID,eyetrial,window,Condition,sum,Target_obj,Target_subj,Target_prop,SubjComp_prop,ObjComp_prop,Distr_prop,GivenSubj_prop,GivenObj_prop,surveyExclude,BL_Pic,Comp_subj_pic,First_pic,lgerror,excludeLargeError,excludeTriggerError,excludeRefError
29,100,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
7,30,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
7,30,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,1,0,0,0
6,49,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
13,65,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
15,47,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
33,104,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
30,48,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
13,75,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
3,71,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
37,30,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
36,110,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
31,37,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
27,94,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
2,52,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
16,53,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
10,106,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,1,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
13,27,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
26,57,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
2,53,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
9,41,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
24,41,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
9,48,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
21,108,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
13,26,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
16,36,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
19,96,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
14,52,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
16,77,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
17,77,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
38,32,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
34,41,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,1,0,0,0
22,64,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
14,80,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
10,41,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
27,21,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
19,49,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
39,92,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
8,48,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
12,93,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
5,69,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
25,101,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
20,34,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
5,38,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
3,91,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
7,106,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
30,81,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
4,79,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,1,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
32,100,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
