ID,eyetrial,TL_early,TL_prenuclear,TL_nuclear,TL_adverb,TR_early,TR_prenuclear,TR_nuclear,TR_adverb,BR_early,BR_prenuclear,BR_nuclear,BR_adverb,BL_early,BL_prenuclear,BL_nuclear,BL_adverb
1,30,0,0,0,0.009915748541801685,0,0,0,0,0,0.05191186001296176,0.015878159429682438,0.053013609850939725,0.028580686973428387,0.010952689565780946,0,0.011665586519766688
1,31,0,0,0,0,0,0,0,0.06327402520144935,0,0.04823968417067763,0.035584879130387756,0,0.031582932237304635,0,0,0.016170028662592612
1,32,0,0,0,0.02727381236571974,0,0,0,0,0,0,0,0.031451420386727144,0,0,0,0.01784435426116018
1,33,0,0,0,0,0,0,0,0.02416366858186114,0,0.013853836653600387,0.032271921817107876,0,0,0,0,0.021371422434623852
1,34,0,0,0.020683150306541803,0.053156370006063464,0,0,0,0,0,0,0,0,0,0.011992184868288082,0.04163578791349458,0
1,35,0,0.04619673436877738,0.022102747909199524,0.020708880923934688,0,0,0,0,0,0,0,0,0.02880658436213992,0.024691358024691357,0,0.030797822912518254
1,36,0,0,0,0.019941173538062715,0,0,0,0,0,0,0,0,0,0,0,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0.007100591715976331,0,0,0,0.035752102148863284
1,38,0,0,0,0,0,0,0,0,0.027124773960216998,0.052129450645382554,0.03024256407058677,0.04103011785246617,0,0,0,0.0243811186630916
1,39,0,0,0,0.07787068360247654,0,0,0,0,0,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0.0074250681198910085,0.013010899182561307,0.06246594005449591,0,0,0,0.050817438692098094
1,41,0,0,0,0.0611018157030427,0,0,0,0,0.03321559149780009,0.0322240813038359,0.003284377517506352,0,0,0.028939703786329554,0.03284377517506352,0
1,42,0,0,0,0.01563418361349477,0,0,0,0.02362760079934172,0,0,0,0.025214529211237804,0,0,0,0
1,43,0,0,0,0.010464573751916284,0,0,0,0.010731187095914151,0,0.02399520095980804,0,0.0669866026794641,0,0.0033993201359728054,0.022395520895820836,0.010664533759914684
1,44,0,0,0,0,0,0,0,0,0,0.016918238993710692,0.03371069182389937,0.043144654088050315,0,0.007547169811320755,0,0
1,45,0,0,0,0,0,0,0,0,0,0,0.049055653487786455,0.05137245026441702,0.02190883908335432,0.04024175270712667,0,0
1,46,0,0,0.021421860319448795,0.03050422799874726,0,0,0,0,0,0.02361415596617601,0,0,0.023113059818352648,0.040588787973692454,0.02073285311619167,0
1,47,0,0,0,0,0,0,0,0.07487714987714987,0.01382063882063882,0,0,0.024262899262899262,0,0.03341523341523341,0.0476044226044226,0.02800982800982801
1,48,0,0,0.0138872473702872,0.07800496395225151,0,0,0,0,0,0.040657132726628055,0.02375605720364023,0,0,0,0,0
1,49,0,0,0,0.008919311346193736,0.0416234529489041,0.06119062435179423,0.018944893867109174,0.00981815667565512,0,0,0,0.03996404618682155,0,0.012652976560879485,0,0
1,50,0,0,0.023423534488072488,0.022190716883437097,0,0,0,0,0,0.025087838254330273,0.007890032669666524,0.07483202860136842,0,0,0,0
1,51,0,0,0.042820610479351436,0,0.0015234778823657435,0,0,0.04994831057184831,0,0,0.013221611621959846,0,0,0,0.012786332226998204,0.024158006420371074
1,52,0,0.049410443571027515,0,0,0,0.006363466217480816,0.03194210493480566,0.05471333208559486,0,0,0,0,0,0,0,0
1,53,0,0,0,0,0,0,0,0,0,0,0,0.04457904300423986,0,0,0,0.05081768625075712
1,54,0,0.03314070055431065,0,0,0,0,0.02081613397806345,0.05460549593112395,0,0.017808703856586863,0,0,0,0.048531666470102604,0,0
1,55,0,0,0,0.024291957545831206,0,0,0,0.034451444463363415,0,0.047959589079970485,0,0,0,0,0.007775696691072138,0.10250297973778308
1,56,0,0.034042030232272334,0.03490229814427922,0,0,0,0.016283642620130268,0,0.013334152636106673,0,0,0.019601818852156814,0.018249969276146,0.0167752242841342,0,0.03182991274425464
1,57,0,0,0,0,0,0,0.03858579701310576,0,0,0,0,0,0,0,0,0.086924718073758
1,58,0,0,0,0.013537519142419602,0,0,0,0,0.03944869831546707,0.05035222052067381,0,0.05745788667687596,0,0,0,0.07215926493108729
1,59,0.02894092535626844,0.037855483708958505,0,0.022160838721828113,0,0,0.02486031765961454,0,0,0.03540711909096616,0,0.024923096239563063,0,0,0,0
1,60,0,0.10721081293878354,0,0.020274260219145725,0,0,0,0.012400761104914376,0,0,0.026310609540056425,0.03903943310806378,0,0,0,0
1,61,0,0,0,0.009925841414717628,0.02989161437535653,0.031602966343411296,0,0,0,0,0,0,0,0.015345122646891043,0.04358243011979464,0.042954934398174556
1,62,0,0,0,0,0,0.0512396694214876,0,0.029693034238488784,0,0,0,0,0,0.02963400236127509,0.03051948051948052,0.0269185360094451
1,63,0,0,0,0,0.034893966985842684,0.0195617693708512,0,0.059625212947189095,0,0,0,0,0,0.010456441285319862,0,0.0868824531516184
1,64,0.004053532363917128,0,0,0.009007849697593617,0.040985716124050955,0.007785355810063055,0,0,0,0.03693218376013383,0.004696950199459529,0,0,0,0.025093295586153648,0.04413846351820872
1,65,0,0,0,0.03138806462248599,0,0,0,0,0.04576327068908671,0,0.04530168150346192,0.04516979887899769,0,0.049851632047477744,0,0
1,66,0,0,0,0.04173506755903523,0,0,0,0,0,0.04836469251168077,0,0,0,0,0.011428210632655639,0.03081197120848592
1,67,0,0,0,0,0,0,0,0,0,0.027726110206928622,0,0.05771913508486398,0,0,0.024761683329458266,0.0076726342710997444
1,68,0,0,0.012386566867589587,0.061866596012452806,0,0,0,0,0,0.018215539511161158,0,0,0,0,0.01867920778962708,0
1,69,0.01673372932234783,0.03768282557322603,0,0.017947244044197484,0,0,0,0,0,0,0.042920099635945584,0.047327074152136425,0,0,0,0
1,70,0,0,0,0,0,0,0,0,0.0301501198435726,0.03702535637693957,0,0.05336192758925192,0.005109120726630503,0.02813170177873092,0.03670997855430806,0
1,71,0,0,0,0,0,0,0,0,0,0.01787627209426888,0.03675682913765399,0.10357525441885378,0,0.08690412426352437,0,0
1,72,0,0,0,0.08997172792283387,0,0,0,0,0,0.058872443040079825,0,0,0,0.009922944730860913,0,0.030600365873939796
1,73,0,0.008346107988417647,0,0,0.038153636518480666,0.031170158405723045,0,0.11480156702435701,0,0,0,0,0,0.01237722137057855,0.015499914835632771,0.03134048714018055
