"mt_id","var3","timestamps","xpos","ypos","steps","dist","vel","acc","subject_nr","Condition","Target_subj","Target_obj","Target_pic","Target_pos","responded_correct","initiation_time","AUC","RT"
"id01","U1",983.946913153483,0,-2,47,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","V1",1005.33706343943,0,-2,48,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","W1",1026.72721372537,0,-2,49,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","X1",1048.11736401132,0,-2,50,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","Y1",1069.50751429726,0,-2,51,0,0,0.00053439343583909,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","Z1",1090.89766458321,-0.244505586677518,-2,52,0.244505586677518,0.0114307559044208,0.0115589952164782,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","A2",1112.28781486915,-5.3653382717487,0.0960148152461131,53,5.5331912576943,0.258679400739412,0.0067062215718246,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","B2",1133.6779651551,-7.48638906356881,8.43194531784406,54,8.60154601252726,0.402126488011589,0.0150383225576803,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","C2",1155.06811544104,-12.6084545100507,23.0422725502537,55,15.4821579980355,0.723798467568891,0.00773366517246878,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","D2",1176.45826572699,-17.1928049474215,41.5021547721598,56,19.0206077867998,0.889222727869179,0.00162371346039955,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","E2",1197.84841601294,-22.5571226640879,60.5237422136263,57,19.7635192554033,0.923954202808437,0.0240086393687531,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","F2",1219.23856629888,-32.7749015671537,89.5247921973245,58,30.7483968016041,1.43750260706713,-0.036171996472026,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","G2",1240.62871658483,-40.2866379232848,101.57327584657,59,14.1983147355645,0.66377816638781,0.0164343803345257,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","H2",1262.01886687077,-52.518632086758,119.518632086758,60,21.717676943046,1.0153120315997,-0.00562709127305694,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","I2",1283.40901715672,-65.3784991315219,133.698927951087,61,19.143065877986,0.894947703596279,0.0110079513348036,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","J2",1304.79916744266,-85.3109545345437,147.386572720726,62,24.179627741826,1.1304094369881,-0.0227681667856804,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","K2",1326.18931772861,-97.5109008090901,153.755450404545,63,13.7623141968662,0.643394927706932,0.02798892990206,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","L2",1347.57946801455,-122.372573165956,163.124191055319,64,26.5683280196851,1.24208234465478,-0.0114820820154959,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","M2",1368.9696183005,-141.27860447066,172.967162682396,65,21.3148331015261,0.996478884747775,0.0379074891271137,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","N2",1390.35976858644,-177.38051831451,186.793506104837,66,38.658969924508,1.80732577413957,0.00490010525925378,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","O2",1411.74991887239,-216.642196393197,198.256878557279,67,40.9009568780232,1.91213976205196,-0.0389830185019782,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","P2",1433.14006915833,-238.301197764085,206.185885394869,68,23.0647239266949,1.07828713769486,-0.0054467412479734,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","Q2",1454.53021944428,-258.226345785414,211.306586446353,69,20.5726299468627,0.961780523832056,-0.0291110086470694,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","R2",1475.92036973022,-265.279116727691,213,70,7.2532218653438,0.339091673895794,-0.00772030849245365,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","S2",1497.31052001617,-269,213,71,3.72088327230915,0.173953114988351,-0.00813239330546682,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","T2",1518.70067030211,-269,213,72,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","U2",1540.09082058806,-269,213,73,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","V2",1561.48097087401,-269,213,74,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","W2",1582.87112115995,-269,213,75,0,0,0.00228008592314238,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","X2",1604.2612714459,-270,212.702808299158,76,1.04322715985033,0.0487713805608834,0.00640278594898902,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","Y2",1625.65142173184,-270,208.730059873071,77,3.97274842608743,0.185727934258498,0.00117629743976532,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
