"mt_id","var3","dist","vel","acc","subject_nr","Condition","Target_subj","Target_obj","Target_pic","Target_pos","responded_correct","initiation_time","AUC","RT"
"id62","A",0,0,0,99,"GC","grizzly","kiwi","grizzly_kiwi","BR_Pic",1,136.137266296051,2981.63045908161,1047.20974073885
"id63","A",0,0,0,99,"CG","zebra","brownie","zebra_brownie","BR_Pic",1,57.9180936309951,-119600.085741431,827.401337585645
"id64","A",0,0,0,99,"CG","zebra","garlic","zebra_garlic","TR_Pic",1,1223.37890563093,-146.574119182886,2224.32528296532
"id65","A",0,0,0,99,"GG","grizzly","lemon","grizzly_lemon","TL_Pic",1,27.6137091211416,-19730.2048634859,460.22848535236
"id66","A",0,0,0,99,"CG","panda","melon","panda_melon","BL_Pic",1,909.597706995886,1431.85920673469,1318.25754637085
"id67","A",0,0,0,99,"CG","grizzly","brownie","grizzly_brownie","BR_Pic",1,107.097028543316,3636.72872318956,669.356428395724
"id68","A",0,0,0,99,"CG","lion","bagel","lion_bagel","BR_Pic",1,0,-129781.340935661,2041.34621915454
"id69","A",0,0,0,99,"GC","zebra","garlic","zebra_garlic","TL_Pic",1,359.535253125466,4687.44978266046,2568.10895089619
"id70","A",0,0,0,99,"GG","grizzly","melon","grizzly_melon","BL_Pic",1,18.3156321835518,-7.5033417608181,228.945402294397
"id71","A",0,0,0,99,"CG","zebra","melon","zebra_melon","BL_Pic",1,280.801851066481,22605.7953255009,1170.00771277701
"id72","A",0,0,0,99,"GG","lion","bagel","lion_bagel","BR_Pic",1,423.159174506506,51821.3697718845,1209.02621287573
"id73","A",0,0,0,99,"GC","grizzly","bagel","grizzly_bagel","TR_Pic",1,969.645447726052,-49911.3433864242,2063.07542069373
"id74","A",0,0,0,99,"CG","zebra","berries","zebra_berries","TL_Pic",1,69.0399479576386,1249.58576459927,862.999349470483
"id75","A",0,0,0,99,"GG","lion","cabbage","lion_cabbage","BL_Pic",1,220.8752024415,5404.01565153711,2007.95638583181
"id76","A",0,0,0,99,"GC","panda","garlic","panda_garlic","TL_Pic",1,473.718645147283,-4552.81289391988,1007.91201095167
"id77","A",0,0,0,99,"GG","grizzly","brownie","grizzly_brownie","BR_Pic",1,0,24050.008775223,1381.9351975813
"id78","A",0,0,0,99,"CG","zebra","cabbage","zebra_cabbage","BL_Pic",1,0,70120.1510362382,1063.94601358077
